txn_date,bank_id,total_volume,total_value,avg_value,median_value,anomaly_flag
2025-08-18,BANK_4,155,398612.37,2571.69,1430.05,NORMAL
2025-08-18,BANK_1,63,100669.03,1597.92,1253.18,NORMAL
2025-08-17,BANK_3,117,365527.98,3124.17,1486.54,NORMAL
2025-08-17,BANK_4,101,187735.13,1858.76,1072.69,NORMAL
2025-08-17,BANK_2,85,183396.01,2157.6,1439.76,NORMAL
2025-08-17,BANK_1,79,178712.47,2262.18,1675.94,NORMAL
2025-08-17,BANK_5,64,136512.02,2133.0,1747.58,NORMAL
2025-08-16,BANK_1,92,832694.71,9051.03,1562.27,HIGH_AVG_VALUE
2025-08-16,BANK_4,146,254124.97,1740.58,1469.08,NORMAL
2025-08-16,BANK_2,82,173803.64,2119.56,1334.82,NORMAL
2025-08-16,BANK_3,89,160710.61,1805.74,1563.8,NORMAL
2025-08-16,BANK_5,100,160350.05,1603.5,1045.06,NORMAL
2025-08-15,BANK_2,113,756535.55,6695.0,1333.6,HIGH_AVG_VALUE
2025-08-15,BANK_1,163,395077.35,2423.79,1555.4,NORMAL
2025-08-15,BANK_5,190,353856.31,1862.4,1285.53,NORMAL
2025-08-15,BANK_4,142,345525.64,2433.28,1829.24,NORMAL
2025-08-15,BANK_3,110,209577.7,1905.25,1259.24,NORMAL
2025-08-14,BANK_5,153,306615.76,2004.02,1294.67,NORMAL
2025-08-14,BANK_1,128,285566.56,2230.99,1516.24,NORMAL
2025-08-14,BANK_4,138,265094.23,1920.97,1447.05,NORMAL
2025-08-14,BANK_2,113,226030.16,2000.27,1373.37,NORMAL
2025-08-14,BANK_3,72,153797.21,2136.07,1284.06,NORMAL
2025-08-13,BANK_3,114,966007.34,8473.75,1471.04,HIGH_AVG_VALUE
2025-08-13,BANK_2,160,366788.86,2292.43,1275.86,NORMAL
2025-08-13,BANK_1,123,279956.33,2276.07,1547.24,NORMAL
2025-08-13,BANK_4,100,184565.41,1845.65,1181.5,NORMAL
2025-08-13,BANK_5,71,157696.5,2221.08,1376.69,NORMAL
2025-08-12,BANK_2,200,461896.14,2309.48,1611.0,NORMAL
2025-08-12,BANK_4,150,296114.05,1974.09,1418.21,NORMAL
2025-08-12,BANK_1,126,286987.59,2277.68,1682.67,NORMAL
2025-08-12,BANK_3,93,241301.67,2594.64,1805.96,NORMAL
2025-08-12,BANK_5,75,165346.96,2204.63,1651.52,NORMAL
2025-08-11,BANK_4,145,592920.44,4089.11,1414.97,HIGH_TOTAL_VALUE
2025-08-11,BANK_1,99,424355.7,4286.42,1041.18,NORMAL
2025-08-11,BANK_2,152,302014.25,1986.94,1436.13,NORMAL
2025-08-11,BANK_5,87,198686.19,2283.75,1426.21,NORMAL
2025-08-11,BANK_3,104,187851.73,1806.27,1297.28,NORMAL
2025-08-10,BANK_2,127,661127.99,5205.73,1248.73,HIGH_AVG_VALUE
2025-08-10,BANK_4,156,264629.59,1696.34,1149.02,NORMAL
2025-08-10,BANK_1,82,159542.9,1945.65,1386.41,NORMAL
2025-08-10,BANK_5,88,155441.53,1766.38,1177.74,NORMAL
2025-08-10,BANK_3,85,146988.72,1729.28,1424.18,NORMAL
2025-08-09,BANK_4,141,274637.58,1947.78,1282.51,NORMAL
2025-08-09,BANK_5,127,264220.34,2080.48,1491.87,NORMAL
2025-08-09,BANK_3,65,262274.42,4034.99,1059.38,NORMAL
2025-08-09,BANK_2,95,227185.89,2391.43,1498.02,NORMAL
2025-08-09,BANK_1,91,193333.4,2124.54,1272.03,NORMAL
2025-08-08,BANK_4,122,343537.82,2815.88,1346.33,NORMAL
2025-08-08,BANK_1,112,272250.23,2430.81,1483.57,NORMAL
2025-08-08,BANK_2,66,148298.84,2246.95,1736.24,NORMAL
2025-08-08,BANK_5,80,146203.32,1827.54,1108.63,NORMAL
2025-08-08,BANK_3,72,122045.59,1695.08,1068.38,NORMAL
2025-08-07,BANK_3,149,634582.74,4258.94,1515.34,HIGH_TOTAL_VALUE
2025-08-07,BANK_1,117,303071.78,2590.36,1482.81,NORMAL
2025-08-07,BANK_4,134,265819.48,1983.73,1646.28,NORMAL
2025-08-07,BANK_2,113,215935.39,1910.93,1441.18,NORMAL
2025-08-07,BANK_5,104,196768.84,1892.01,1304.01,NORMAL
2025-08-06,BANK_5,93,413624.2,4447.57,966.63,NORMAL
2025-08-06,BANK_1,133,266018.89,2000.14,1205.59,NORMAL
2025-08-06,BANK_2,110,250879.21,2280.72,1588.71,NORMAL
2025-08-06,BANK_3,86,221488.38,2575.45,1746.88,NORMAL
2025-08-06,BANK_4,82,196561.27,2397.09,1876.35,NORMAL
2025-08-05,BANK_4,141,440405.36,3123.44,1687.98,NORMAL
2025-08-05,BANK_2,173,368010.17,2127.23,1486.12,NORMAL
2025-08-05,BANK_5,148,314942.29,2127.99,1640.87,NORMAL
2025-08-05,BANK_1,153,293334.84,1917.22,1188.33,NORMAL
2025-08-05,BANK_3,90,181645.42,2018.28,1174.89,NORMAL
2025-08-04,BANK_1,161,337723.46,2097.66,1422.62,NORMAL
2025-08-04,BANK_3,144,285765.11,1984.48,1327.34,NORMAL
2025-08-04,BANK_5,134,266937.81,1992.07,1513.4,NORMAL
2025-08-04,BANK_2,100,190307.94,1903.08,1234.92,NORMAL
2025-08-04,BANK_4,93,159536.12,1715.44,1094.72,NORMAL
2025-08-03,BANK_1,138,362474.73,2626.63,1529.3,NORMAL
2025-08-03,BANK_3,175,360211.25,2058.35,1437.22,NORMAL
2025-08-03,BANK_5,153,309266.69,2021.35,1411.65,NORMAL
2025-08-03,BANK_4,125,238151.29,1905.21,1106.68,NORMAL
2025-08-03,BANK_2,93,202109.45,2173.22,1529.85,NORMAL
2025-08-02,BANK_3,198,421295.52,2127.76,1662.71,NORMAL
2025-08-02,BANK_1,141,340081.5,2411.93,1678.11,NORMAL
2025-08-02,BANK_2,129,232219.86,1800.15,1127.62,NORMAL
2025-08-02,BANK_5,87,156706.72,1801.23,1233.26,NORMAL
2025-08-02,BANK_4,75,144672.86,1928.97,1239.33,NORMAL
2025-08-01,BANK_5,172,347909.4,2022.73,1592.0,NORMAL
2025-08-01,BANK_4,121,305807.23,2527.33,1911.8,NORMAL
2025-08-01,BANK_3,149,304672.84,2044.78,1362.19,NORMAL
2025-08-01,BANK_2,135,263726.31,1953.53,1231.64,NORMAL
2025-08-01,BANK_1,97,178713.43,1842.41,1136.71,NORMAL
2025-07-31,BANK_1,174,464776.01,2671.13,1512.3,NORMAL
2025-07-31,BANK_5,137,325035.57,2372.52,1767.94,NORMAL
2025-07-31,BANK_2,136,272047.73,2000.35,1475.55,NORMAL
2025-07-31,BANK_3,142,263575.3,1856.16,1312.59,NORMAL
2025-07-31,BANK_4,74,140118.87,1893.5,1076.57,NORMAL
2025-07-30,BANK_3,153,401342.51,2623.15,1426.54,NORMAL
2025-07-30,BANK_2,174,371887.14,2137.28,1475.2,NORMAL
2025-07-30,BANK_4,106,245949.54,2320.28,1742.76,NORMAL
2025-07-30,BANK_1,116,224460.87,1935.01,1483.08,NORMAL
2025-07-30,BANK_5,93,184273.54,1981.44,1448.2,NORMAL
2025-07-29,BANK_3,146,337262.85,2310.02,1855.67,NORMAL
2025-07-29,BANK_4,175,334367.22,1910.67,1243.42,NORMAL
2025-07-29,BANK_2,130,263594.83,2027.65,1297.76,NORMAL
2025-07-29,BANK_1,115,232337.99,2020.33,1261.49,NORMAL
2025-07-29,BANK_5,107,185041.95,1729.36,1039.94,NORMAL
2025-07-28,BANK_3,155,489296.86,3156.75,1558.74,NORMAL
2025-07-28,BANK_4,97,212668.74,2192.46,1677.61,NORMAL
2025-07-28,BANK_5,142,210965.09,1485.67,880.84,NORMAL
2025-07-28,BANK_1,105,200274.3,1907.37,1586.45,NORMAL
2025-07-28,BANK_2,97,191569.02,1974.94,1455.64,NORMAL
2025-07-27,BANK_1,139,332062.36,2388.94,1778.55,NORMAL
2025-07-27,BANK_2,115,255060.35,2217.92,1487.87,NORMAL
2025-07-27,BANK_5,108,225514.67,2088.1,1463.98,NORMAL
2025-07-27,BANK_3,111,219226.94,1975.02,1374.55,NORMAL
2025-07-27,BANK_4,83,157082.3,1892.56,1444.97,NORMAL
2025-07-26,BANK_4,95,272544.35,2868.89,1308.69,NORMAL
2025-07-26,BANK_5,59,140550.65,2382.21,1603.95,NORMAL
2025-07-26,BANK_1,53,119955.31,2263.31,1813.67,NORMAL
2025-07-26,BANK_3,40,90506.2,2262.65,1514.76,NORMAL
2025-07-26,BANK_2,43,80672.34,1876.1,712.13,NORMAL
